Query_ID,Precision@1,Precision@3,Precision@5,Recall@1,Recall@3,Recall@5,MRR,nDCG@3,nDCG@5,MAP,F1-Score
AILA_Q17,0.0,0.0,0.2,0.0,0.0,0.3333333333333333,0.2,0.0,0.18154179253735267,0.06666666666666667,0.25
AILA_Q18,1.0,0.3333333333333333,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.33333333333333337
AILA_Q19,0.0,0.3333333333333333,0.4,0.0,0.25,0.5,0.5,0.2960819109658652,0.3973220069685352,0.225,0.4444444444444445
AILA_Q20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AILA_Q21,1.0,0.3333333333333333,0.4,0.25,0.25,0.5,1.0,0.46927872602275644,0.5585075862632192,0.375,0.4444444444444445
AILA_Q22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AILA_Q23,1.0,0.6666666666666666,0.4,0.5,1.0,1.0,1.0,0.9197207891481876,0.9197207891481876,0.8333333333333333,0.5714285714285715
AILA_Q24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AILA_Q25,1.0,0.6666666666666666,0.4,0.16666666666666666,0.3333333333333333,0.3333333333333333,1.0,0.7653606369886217,0.5531464700081437,0.3333333333333333,0.3636363636363636
AILA_Q26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AILA_Q27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AILA_Q28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AILA_Q29,1.0,0.3333333333333333,0.6,0.045454545454545456,0.045454545454545456,0.13636363636363635,1.0,0.46927872602275644,0.6164336326286644,0.09545454545454546,0.22222222222222218
AILA_Q30,0.0,0.3333333333333333,0.4,0.0,0.1,0.2,0.3333333333333333,0.23463936301137822,0.3156484524795145,0.08333333333333333,0.26666666666666666
AILA_Q31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AILA_Q32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AILA_Q33,1.0,0.3333333333333333,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.33333333333333337
AILA_Q34,0.0,0.3333333333333333,0.4,0.0,0.07692307692307693,0.15384615384615385,0.3333333333333333,0.23463936301137822,0.30078518014914984,0.05641025641025642,0.2222222222222222
AILA_Q35,0.0,0.0,0.2,0.0,0.0,0.5,0.25,0.0,0.2640681225725909,0.125,0.28571428571428575
AILA_Q36,1.0,1.0,0.8,0.16666666666666666,0.5,0.6666666666666666,1.0,1.0,0.8687949224876582,0.6666666666666666,0.7272727272727272
AILA_Q37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AILA_Q38,0.0,0.3333333333333333,0.2,0.0,0.2,0.2,0.5,0.2960819109658652,0.21398626473452756,0.1,0.20000000000000004
AILA_Q39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AILA_Q40,1.0,0.6666666666666666,0.4,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5714285714285715
AILA_Q41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AILA_Q42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AILA_Q43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AILA_Q44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AILA_Q45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AILA_Q46,0.0,0.0,0.2,0.0,0.0,0.1111111111111111,0.25,0.0,0.14606834984270645,0.027777777777777776,0.14285714285714285
AILA_Q47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AILA_Q48,1.0,1.0,0.6,0.25,0.75,0.75,1.0,1.0,0.8318724637288826,0.75,0.6666666666666665
AILA_Q49,0.0,0.3333333333333333,0.4,0.0,0.25,0.5,0.3333333333333333,0.23463936301137822,0.36331756126716835,0.20833333333333331,0.4444444444444445
AILA_Q50,1.0,0.6666666666666666,0.4,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5714285714285715
